== 已剔除的现代要素 ==
  line | {} | 392716547
  line | {} | 392716548
  line | {} | 392716555
  line | {} | 392716570
  line | {} | 403309694
  line | {} | 431106094
  railway | {'railway': 'rail'} | 434976279
  railway | {'railway': 'rail', 'bridge': 'viaduct'} | 连镇线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  line | {} | 491632668
  railway | {'railway': 'rail', 'bridge': 'yes'} | 连镇线
  line | {} | 536540020
  railway | {'railway': 'abandoned'} | 540870109
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'abandoned'} | 540870112
  railway | {'railway': 'rail'} | 宁启线
  man_made | {'man_made': 'water_works'} | 廖家沟水厂
  man_made | {'man_made': 'wastewater_plant'} | 612017856
  line | {} | 612030205
  line | {} | 689912788
  line | {} | 689958805
  line | {} | 689965282
  line | {} | 690149350
  line | {} | 690150994
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  line | {} | 747346878
  railway | {'railway': 'rail'} | 泰安镇联络线
  railway | {'railway': 'rail', 'bridge': 'viaduct'} | 泰安镇联络线
  railway | {'railway': 'rail', 'bridge': 'viaduct'} | 泰安镇联络线
  railway | {'railway': 'rail'} | 泰安镇联络线
  railway | {'railway': 'rail', 'bridge': 'viaduct'} | 泰安镇联络线
  railway | {'railway': 'rail', 'bridge': 'viaduct'} | 江都联络线
  railway | {'railway': 'rail'} | 江都联络线
  railway | {'railway': 'rail', 'bridge': 'viaduct'} | 江都联络线
  railway | {'railway': 'rail'} | 江都联络线
  railway | {'railway': 'rail', 'bridge': 'viaduct'} | 江都联络线
  road | {'highway': 'tertiary'} | 史可法北路
  railway | {'railway': 'rail', 'bridge': 'viaduct'} | 连镇线
  road | {'highway': 'tertiary'} | 史可法路
  road | {'highway': 'secondary', 'bridge': 'yes'} | 史可法路
  road | {'highway': 'secondary', 'bridge': 'yes'} | 史可法路
  road | {'highway': 'secondary'} | 史可法路
  road | {'highway': 'secondary', 'bridge': 'yes'} | 史可法路
  road | {'highway': 'secondary'} | 史可法路
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'abandoned', 'bridge': 'yes'} | 837001358
  railway | {'railway': 'abandoned'} | 837001359
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 江都联络线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 江都联络线
  railway | {'railway': 'disused'} | 838793206
  railway | {'railway': 'rail', 'bridge': 'yes'} | 838793207
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'viaduct'} | 883663583
  railway | {'railway': 'rail', 'bridge': 'viaduct'} | 883663584
  line | {} | 911717959
  line | {} | 911717960
  line | {} | 939095320
  line | {} | 939095321
  line | {} | 939095322
  line | {} | 939095323
  line | {} | 939095324
  line | {} | 939095325
  line | {} | 939095326
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'construction', 'tunnel': 'yes'} | 南京地铁S5号线
  railway | {'railway': 'construction'} | 扬州停车场出入场线
  railway | {'railway': 'construction', 'tunnel': 'yes'} | 南京地铁S5号线
  railway | {'railway': 'construction', 'bridge': 'yes'} | 南京地铁S5号线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 981232720
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  line | {} | 981950411
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
